id,user,uid,version,changeset,timestamp
4006450,drnoble,388774,10,41132857,2016-07-30T19:37:07Z
4006451,drnoble,388774,8,41132857,2016-07-30T19:37:47Z
4006452,eric_,1798469,15,45878620,2017-02-07T08:49:58Z
4006455,eric_,1798469,25,46078109,2017-02-14T12:43:58Z
4006456,drnoble,388774,13,46764229,2017-03-11T14:50:39Z
4006532,Rostranimin,33764,13,46969903,2017-03-19T00:49:48Z
4006677,drnoble,388774,27,41132857,2016-07-30T19:37:34Z
4007686,eric_,1798469,16,46078109,2017-02-14T12:43:58Z
4007687,drnoble,388774,5,41132857,2016-07-30T19:37:23Z
4007688,eric_,1798469,6,46078109,2017-02-14T12:43:59Z
4007689,drnoble,388774,15,41132857,2016-07-30T19:36:52Z
4007690,eric_,1798469,19,46090098,2017-02-14T20:58:31Z
4007691,eisa,1939732,5,30093373,2015-04-09T12:52:54Z
4007692,eisa,1939732,5,30093373,2015-04-09T12:52:34Z
4007693,eisa,1939732,7,30093373,2015-04-09T12:52:34Z
4007696,eisa,1939732,2,30093373,2015-04-09T12:52:47Z
4007697,drnoble,388774,6,41132857,2016-07-30T19:37:58Z
4007699,eisa,1939732,6,30093373,2015-04-09T12:52:21Z
4007701,eisa,1939732,2,30093373,2015-04-09T12:52:54Z
4012511,Ropino,42123,6,27827178,2014-12-31T17:35:33Z
4012513,eric_,1798469,4,28441802,2015-01-27T13:06:36Z
4012515,saintam1,417398,4,45898488,2017-02-07T21:15:21Z
4012518,MapNav_Tom,2046237,8,49312870,2017-06-06T17:49:09Z
4012519,MapNav_Tom,2046237,8,49312870,2017-06-06T17:49:43Z
4016909,drnoble,388774,18,41132857,2016-07-30T19:37:12Z
4018876,Mao-PU,124271,12,48785635,2017-05-18T09:53:42Z
4018877,sophiemccallum,2234934,9,46714013,2017-03-09T16:18:11Z
4018878,sophiemccallum,2234934,11,46714013,2017-03-09T16:18:12Z
4018879,drnoble,388774,9,41132857,2016-07-30T19:37:04Z
4018880,drnoble,388774,8,41132857,2016-07-30T19:37:39Z
4018881,eric_,1798469,9,46078109,2017-02-14T12:43:59Z
4018882,eric_,1798469,9,46078109,2017-02-14T12:43:59Z
4018883,eric_,1798469,5,48837041,2017-05-20T06:56:17Z
4018885,drnoble,388774,9,41132857,2016-07-30T19:36:35Z
4018886,drnoble,388774,7,41132857,2016-07-30T19:38:00Z
4018887,eric_,1798469,12,46111181,2017-02-15T16:28:50Z
4018906,eisa,1939732,5,30092190,2015-04-09T11:52:57Z
4018907,eisa,1939732,7,30092190,2015-04-09T11:52:57Z
4018908,eisa,1939732,6,30092190,2015-04-09T11:52:58Z
4018909,eric_,1798469,14,46001401,2017-02-11T16:15:26Z
4018910,drnoble,388774,18,41132857,2016-07-30T19:37:29Z
4018916,pafs,6099744,24,49272844,2017-06-05T14:31:17Z
4018917,saintam1,417398,15,42775625,2016-10-10T12:09:54Z
4018918,saintam1,417398,12,42775625,2016-10-10T12:09:54Z
4018919,eric_,1798469,8,40097172,2016-06-17T15:22:56Z
4018920,eric_,1798469,11,40044519,2016-06-15T18:38:09Z
4018921,eric_,1798469,8,40097172,2016-06-17T15:23:01Z
4018923,eric_,1798469,15,40201420,2016-06-22T10:27:28Z
4018942,drnoble,388774,8,46577142,2017-03-04T17:02:14Z
4018943,drnoble,388774,14,46577142,2017-03-04T17:02:14Z
4018945,tms13,91225,15,40555242,2016-07-07T20:27:23Z
4018946,drnoble,388774,23,41132857,2016-07-30T19:37:14Z
4018954,Rostranimin,33764,14,46967548,2017-03-18T22:06:45Z
4018969,sairfeet,2042390,17,46557011,2017-03-03T19:47:41Z
4018979,MapNav_Tom,2046237,28,49327730,2017-06-07T07:54:13Z
4019080,drnoble,388774,8,41132857,2016-07-30T19:37:52Z
4019100,eric_,1798469,27,45483856,2017-01-25T17:34:18Z
4045043,eric_,1798469,8,39559530,2016-05-25T15:51:13Z
4045044,eric_,1798469,7,39408201,2016-05-18T18:42:21Z
4045046,eric_,1798469,10,35857268,2015-12-10T00:39:52Z
4048467,eric_,1798469,5,33730670,2015-09-01T15:31:59Z
4048646,drnoble,388774,3,21465382,2014-04-02T20:23:06Z
4048648,eric_,1798469,5,31149480,2015-05-14T18:03:25Z
4048680,sophiemccallum,2234934,7,33466364,2015-08-20T16:36:05Z
4049619,eric_,1798469,15,39621845,2016-05-28T10:45:34Z
4049896,Rostranimin,33764,17,47180786,2017-03-26T17:34:17Z
4060748,eric_,1798469,12,40097172,2016-06-17T15:22:59Z
4060860,drnoble,388774,14,41132857,2016-07-30T19:37:15Z
4064140,lcmortensen,341519,14,40517137,2016-07-06T09:29:15Z
4064141,sophiemccallum,2234934,14,45395482,2017-01-23T10:27:49Z
4065309,eric_,1798469,8,45332457,2017-01-20T17:37:06Z
4066007,RL44,5749316,24,49051612,2017-05-28T18:16:54Z
4066051,MapNav_Tom,2046237,18,49319550,2017-06-06T21:40:50Z
4066500,saintam1,417398,13,43202641,2016-10-26T21:03:06Z
4066501,drnoble,388774,16,41132857,2016-07-30T19:36:39Z
4066503,drnoble,388774,16,41132857,2016-07-30T19:36:44Z
4066684,drnoble,388774,24,42585926,2016-10-02T16:01:56Z
4066691,saintam1,417398,7,43202641,2016-10-26T21:03:08Z
4066699,Mao-PU,124271,22,48753467,2017-05-17T07:11:55Z
4071162,Yorvik Prestigitator,493595,9,31598925,2015-05-31T05:59:29Z
4073062,drnoble,388774,4,41132857,2016-07-30T19:37:59Z
4073063,mountainmonkey,4228331,8,45743653,2017-02-02T11:06:21Z
4073064,eisa,1939732,7,30092190,2015-04-09T11:52:39Z
4073065,eric_,1798469,9,39889130,2016-06-08T16:59:33Z
4073066,eisa,1939732,13,30093373,2015-04-09T12:52:38Z
4073067,rob_michel,3670347,6,39730906,2016-06-02T10:39:23Z
4073077,eric_,1798469,5,39889130,2016-06-08T16:59:32Z
4073078,eric_,1798469,10,39889130,2016-06-08T16:59:40Z
4073097,fitzsimons,346039,9,34573643,2015-10-11T17:07:51Z
4073098,MapNav_Tom,2046237,14,49319550,2017-06-06T21:43:50Z
4073099,drnoble,388774,13,41132857,2016-07-30T19:37:15Z
4073114,drnoble,388774,11,41132857,2016-07-30T19:36:52Z
4073115,drnoble,388774,5,41132857,2016-07-30T19:36:33Z
4073118,drnoble,388774,8,41132857,2016-07-30T19:37:13Z
4073124,drnoble,388774,7,41132857,2016-07-30T19:37:37Z
4073125,drnoble,388774,7,41132857,2016-07-30T19:37:07Z
4073129,drnoble,388774,4,41132857,2016-07-30T19:37:41Z
4073134,drnoble,388774,15,46191545,2017-02-18T12:42:02Z
4073141,FrenchyF,4007299,8,44559693,2016-12-21T08:38:10Z
4073143,meadowgreen,2922304,4,38834838,2016-04-24T14:36:37Z
4073144,TheBaron,199963,8,32895133,2015-07-26T19:09:14Z
4073742,drnoble,388774,6,41132857,2016-07-30T19:37:59Z
4075023,eric_,1798469,13,31061051,2015-05-12T18:06:02Z
4078738,eric_,1798469,27,46111181,2017-02-15T16:28:51Z
4084023,eric_,1798469,28,45604179,2017-01-28T21:08:37Z
4084024,eric_,1798469,27,45604179,2017-01-28T21:08:37Z
4084026,drnoble,388774,20,41132857,2016-07-30T19:37:27Z
4084027,sladen,12671,23,31642383,2015-06-01T17:33:12Z
4084028,leilaz,2107672,12,29947888,2015-04-03T10:03:11Z
4189740,Damnmark,3280829,13,34693645,2015-10-17T13:20:22Z
4189859,eric_,1798469,6,29235473,2015-03-04T01:57:26Z
4189860,eric_,1798469,6,28600345,2015-02-03T22:27:23Z
4189861,eric_,1798469,4,29235473,2015-03-04T01:57:23Z
4189862,eric_,1798469,4,29235473,2015-03-04T01:57:23Z
4189863,drnoble,388774,2,46601298,2017-03-05T17:13:33Z
4189865,TheBaron,199963,17,19327432,2013-12-07T18:34:03Z
4196458,sophiemccallum,2234934,9,49159183,2017-06-01T09:30:53Z
4196461,sophiemccallum,2234934,5,49159183,2017-06-01T09:30:53Z
4196463,sophiemccallum,2234934,8,49159183,2017-06-01T09:30:53Z
4196468,Chris Parker,51722,8,47241215,2017-03-28T20:13:57Z
4196470,Rostranimin,33764,7,46604986,2017-03-05T19:57:37Z
4196471,Rostranimin,33764,5,46604986,2017-03-05T19:57:37Z
4196472,Rostranimin,33764,5,46604986,2017-03-05T19:57:37Z
4196473,Rostranimin,33764,8,46604986,2017-03-05T19:57:37Z
4196474,Rostranimin,33764,10,46604986,2017-03-05T19:57:37Z
4196547,eric_,1798469,9,33393456,2015-08-17T15:24:26Z
4196549,shortcolin,1560622,10,48275429,2017-04-30T08:27:27Z
4206585,jambamkin,53626,17,49068248,2017-05-29T10:04:51Z
4206587,jambamkin,53626,29,49068248,2017-05-29T10:05:00Z
4210569,Rostranimin,33764,26,46606014,2017-03-05T20:43:26Z
4210570,FarSide,433966,3,37518748,2016-02-29T10:54:05Z
4210571,mentor,38588,5,16720784,2013-06-27T01:47:00Z
4210630,Rostranimin,33764,17,46606014,2017-03-05T20:43:26Z
4210631,Rostranimin,33764,20,46606014,2017-03-05T20:43:26Z
4210634,drnoble,388774,22,41132857,2016-07-30T19:37:53Z
4211277,Rostranimin,33764,17,46604986,2017-03-05T19:57:37Z
4211455,richardwest,69984,10,20856187,2014-03-01T23:31:57Z
4211541,drnoble,388774,15,48866741,2017-05-21T17:36:23Z
4211543,drnoble,388774,19,46601298,2017-03-05T17:13:33Z
4211544,eric_,1798469,12,39449852,2016-05-20T12:39:15Z
4211545,drnoble,388774,14,46601298,2017-03-05T17:13:34Z
4211547,drnoble,388774,11,46601298,2017-03-05T17:13:34Z
4211576,TheBaron,199963,5,32410279,2015-07-04T18:48:12Z
4211577,TheBaron,199963,9,32410279,2015-07-04T18:48:12Z
4211578,drnoble,388774,12,46601298,2017-03-05T17:13:34Z
4211579,TheBaron,199963,6,16393345,2013-06-02T16:19:21Z
4211581,drnoble,388774,10,48653781,2017-05-13T16:30:29Z
4227386,drnoble,388774,8,46284579,2017-02-21T19:32:46Z
4235347,eric_,1798469,22,45303202,2017-01-19T17:26:02Z
4235348,eric_,1798469,20,45303202,2017-01-19T17:26:03Z
4235391,leilaz,2107672,5,29947888,2015-04-03T10:03:13Z
4235396,eric_,1798469,20,45483856,2017-01-25T17:34:19Z
4237322,eric_,1798469,16,46283903,2017-02-21T19:07:21Z
4237323,leilaz,2107672,16,29947888,2015-04-03T10:03:25Z
4237324,saintam1,417398,7,44236359,2016-12-07T14:17:49Z
4237325,leilaz,2107672,6,29947888,2015-04-03T10:03:23Z
4237326,eric_,1798469,9,45332457,2017-01-20T17:37:07Z
4237327,saintam1,417398,7,44236359,2016-12-07T14:17:49Z
4237329,saintam1,417398,8,44236359,2016-12-07T14:17:49Z
4237330,saintam1,417398,9,43192946,2016-10-26T13:26:51Z
4237331,leilaz,2107672,10,29947888,2015-04-03T10:03:25Z
4237332,sophiemccallum,2234934,9,47289020,2017-03-30T11:17:36Z
4237333,saintam1,417398,8,43192720,2016-10-26T13:16:16Z
4237334,saintam1,417398,33,46403103,2017-02-25T21:03:02Z
4237343,RL44,5749316,41,49053882,2017-05-28T20:04:09Z
4237384,eisa,1939732,3,30088729,2015-04-09T09:47:19Z
4241924,saintam1,417398,11,42495993,2016-09-28T14:31:16Z
4241925,SomeoneElse,61942,24,45414788,2017-01-23T22:22:36Z
4242250,tms13,91225,3,48144596,2017-04-25T23:09:45Z
4242251,eric_,1798469,3,31057323,2015-05-12T15:53:25Z
4242252,eric_,1798469,4,31057323,2015-05-12T15:53:49Z
4242253,eric_,1798469,3,31149480,2015-05-14T18:03:32Z
4242254,eric_,1798469,6,39019145,2016-05-01T15:33:09Z
4242256,eric_,1798469,4,31149480,2015-05-14T18:03:25Z
4242258,eric_,1798469,14,39006307,2016-04-30T20:46:09Z
4242259,sophiemccallum,2234934,11,47942576,2017-04-19T15:11:09Z
4242271,eric_,1798469,4,39027035,2016-05-01T22:36:39Z
4242272,eric_,1798469,3,39006307,2016-04-30T20:46:34Z
4242654,Rostranimin,33764,14,46608079,2017-03-05T22:24:47Z
